"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","307.8497702640212","224.76045171143483","4.635662846425661","-0.3132760394092362","0.0030999999999999917","0.0034","0.0028000000000000247","1244.4444444444443","0.0001014625740645243","0","0.0001014625740645243","0.0001014625740645243","","","true"
"1","308.82521713703153","312.70852906498084","4.736296869971339","-0.3129180725120383","0.02289999999999992","0.024599999999999955","0.0212","1244.4444444444443","0.0002693288054891179","0","0.0002693288054891179","0.0002693288054891179","1_2:0.014094602737029394;1_0:0.006225416961234881","1_2:533.3333333333333;1_0:533.3333333333333","true"
"2","205.74253610673185","158.5952142057266","4.819178499281037","-0.3112951524093254","0.0121","0.009800000000000031","0.0144","1244.4444444444443","0.00021472874623960217","0","0.00021472874623960217","0.00021472874623960217","","","true"
"3","441.356815707551","221.08000582108588","4.747182082348841","-0.3111534699659636","0.011800000000000033","0.007800000000000029","0.0158","1244.4444444444443","0.0003536797904471345","0","0.0003536797904471345","0.0003536797904471345","3_2:0.006434373468296478","3_2:533.3333333333333","true"
"4","377.77707663058004","415.4880186279059","4.787874618691494","-0.31094540176555985","0.016699999999999937","0.012399999999999967","0.021","1244.4444444444443","0.00019044870353782464","0","0.00019044870353782464","0.00019044870353782464","4_3:0.005649320313317913;4_15:0.008578605498584052","4_3:533.3333333333333;4_15:533.3333333333333","true"
"5","260.04459004264055","298.7802281619393","4.850837438806149","-0.31056606217183785","0.12850000000000006","0.08320000000000005","0.1738","1244.4444444444443","0.00024760669209321074","0","0.00024760669209321074","0.00024760669209321074","5_4:0.006052999631729616","5_4:533.3333333333333","true"
"6","283.0891608302075","427.8273349129344","4.8995542684000535","-0.3090557835234433","0.06370000000000009","0.05500000000000005","0.0724","1244.4444444444443","0.00014423345425585395","0","0.00014423345425585395","0.00014423345425585395","6_5:0.004115365247715108","6_5:533.3333333333333","true"
"7","286.8906871277139","271.2813749744031","4.755796861500931","-0.31100390518358323","0.036699999999999955","0.033399999999999985","0.04","1244.4444444444443","0.00030195409616072137","0","0.00030195409616072137","0.00030195409616072137","7_6:0.005362120773538259;7_8:0.0072779221010640105","7_6:533.3333333333333;7_8:533.3333333333333","true"
"8","423.98392498479484","301.69081815503426","4.812595340291288","-0.31334511346081884","0.02970000000000006","0.027800000000000047","0.0316","1244.4444444444443","0.00017417058037710732","0","0.00017417058037710732","0.00017417058037710732","8_9:0.0052665666681881995","8_9:533.3333333333333","true"
"9","287.6419803114941","69.80204515722296","4.638198814237326","-0.29264088813258476","0.03180000000000005","0.027599999999999958","0.036","1244.4444444444443","0.00017687459255717386","0","0.00017687459255717386","0.00017687459255717386","","","true"
"10","216.26110357713083","180.90025279602867","4.804388478637297","-0.31122742580861","0.007300000000000084","0.009000000000000008","0.0056","1244.4444444444443","0.00024313609586837327","0","0.00024313609586837327","0.00024313609586837327","10_11:0.007606777256084857;10_9:0.009319568673158585","10_11:533.3333333333333;10_9:533.3333333333333","true"
"11","470.15012281582904","98.85725583701353","4.743312140873306","-0.31179417408967897","0.009099999999999997","0.0102","0.008000000000000007","1244.4444444444443","0.00015265676680025926","0","0.00015265676680025926","0.00015265676680025926","11_12:0.005288273404450733","11_12:533.3333333333333","true"
"12","403.15344383882666","277.2816351766469","4.6259367630497845","-0.31372359565205904","0.015199999999999991","0.016000000000000014","0.0144","1244.4444444444443","0.0001854403888317178","0","0.0001854403888317178","0.0001854403888317178","12_13:0.008507865239330753","12_13:533.3333333333333","true"
"13","350.23457702776005","166.59084886162447","4.556976802504636","-0.31377871528415735","0.0403","0.049","0.03159999999999996","1244.4444444444443","0.00017100720306810848","0","0.00017100720306810848","0.00017100720306810848","","","true"
"14","258.2532142749048","156.526395171993","4.510048501832088","-0.3157712274724498","0.015800000000000036","0.0238","0.007800000000000029","1244.4444444444443","0.0007719994573571029","0","0.0007719994573571029","0.0007719994573571029","14_0:0.00534680871565682;14_18:0.008747474951620926","14_0:533.3333333333333;14_18:533.3333333333333","true"
"15","403.1995622296311","306.5576770060655","4.599052211585765","-0.32044986829453664","0.08230000000000004","0.0694","0.09519999999999995","1244.4444444444443","0.00012678186405997116","0","0.00012678186405997116","0.00012678186405997116","","","true"
"16","337.817234949592","165.909184260387","4.937433915435484","-0.3088315131283205","0.03639999999999999","0.037","0.035800000000000054","1244.4444444444443","0.00018391905991968803","0","0.00018391905991968803","0.00018391905991968803","16_8:0.003971323527449611","16_8:533.3333333333333","true"
"17","234.61433655615377","78.37143033722487","4.752796046027558","-0.31153154230934604","0.009299999999999975","0.012199999999999989","0.0064","1244.4444444444443","0.0005356038718033118","0","0.0005356038718033118","0.0005356038718033118","17_12:0.005776229270064354;17_30:0.006760057599763197","17_12:590.2222222222222;17_30:590.2222222222222","true"
"18","243.889214001499","57.73097315077554","4.659441383854667","-0.2892599847835004","0.023400000000000087","0.0138","0.03300000000000003","1244.4444444444443","0.00032433365419124377","0","0.00032433365419124377","0.00032433365419124377","18_19:0.01002984266860621","18_19:533.3333333333333","true"
"19","461.50887825385246","132.75423095097716","4.820724754835776","-0.31198328628677313","0.028799999999999937","0.023599999999999954","0.034","1244.4444444444443","0.0001741541184956158","0","0.0001741541184956158","0.0001741541184956158","19_20:0.007861074386066702","19_20:533.3333333333333","true"
"20","504.04992472145113","89.01503813445945","4.738281537383697","-0.3119696404967832","0.047799999999999954","0.04679999999999995","0.0488","1244.4444444444443","0.0001863458915832065","0","0.0001863458915832065","0.0001863458915832065","20_33:0.008643731227374107","20_33:533.3333333333333","true"
"21","442.2779511844687","25.678571103829952","4.773884418536997","-0.3114254225761893","0.10739999999999994","0.1004","0.11439999999999995","1244.4444444444443","0.0010024619245613486","0","0.0010024619245613486","0.0010024619245613486","21_22:0.010061837931661433;21_20:0.009597186566324772","21_22:803.5555555555555;21_20:533.3333333333333","true"
