,id,exec_per_sec,succ_rate,succ_per_sec,carbon_init
0,0,2.9794594,0.67,1.9962377980000001,140000.0
1,1,2.9794606,0.68,2.026033208,175000.0
2,2,2.9794598000000003,0.66,1.9664434680000002,210000.0
3,3,2.9794604,0.62,1.847265448,245000.0
4,4,2.9794606,0.57,1.698292542,280000.0
5,5,2.9794605,0.57,1.6982924849999999,315000.0
6,6,2.9794604,0.73,2.175006092,350000.0
7,7,2.9794599,0.63,1.8770597370000002,385000.0
8,8,2.9794597,0.64,1.9068542080000002,420000.0
9,9,2.9794595,0.69,2.055827055,455000.0
10,10,2.9794598000000003,0.62,1.8472650760000002,490000.0
11,11,2.9794594,0.64,1.906854016,525000.0
12,12,2.9794605,0.66,1.96644393,560000.0
13,13,2.9794600000000004,0.49,1.4599354000000002,595000.0
14,14,2.9794596,0.59,1.757881164,630000.0
15,15,2.9794596,0.66,1.9664433360000002,665000.0
