,id,exec_per_sec,succ_rate,succ_per_sec,electron_init
0,0,2.9299602,0.64,1.875174528,1000.0
1,1,2.92996,0.59,1.7286764,1250.0
2,2,2.9299597,0.62,1.8165750139999999,1500.0
3,3,2.9299596,0.61,1.787275356,1750.0
4,4,2.9299599,0.65,1.9044739350000002,2000.0
5,5,2.9299592999999997,0.61,1.7872751729999998,2250.0
6,6,2.9299611,0.55,1.611478605,2500.0
7,7,2.9299598,0.64,1.875174272,2750.0
8,8,2.9299598,0.71,2.080271458,3000.0
9,9,2.9299601,0.63,1.8458748630000001,3250.0
10,10,2.9299598,0.63,1.8458746739999998,3500.0
11,11,2.9299603000000003,0.56,1.6407777680000004,3750.0
12,12,2.9299597,0.74,2.168170178,4000.0
13,13,2.9299599,0.67,1.9630731330000002,4250.0
14,14,2.9299604,0.61,1.787275844,4500.0
15,15,2.9299592999999997,0.71,2.080271103,4750.0
