,id,exec_per_sec,succ_rate,succ_per_sec,measure
0,0,2.9300596000000003,0.63,1.8459375480000002,1600.0
1,1,2.9300603,0.55,1.6115331650000002,2000.0
2,2,2.9300599999999997,0.6,1.7580359999999997,2400.0
3,3,2.9300605,0.6,1.7580363,2800.0
4,4,2.9300596000000003,0.64,1.8752381440000003,3200.0
5,5,2.9300596000000003,0.58,1.699434568,3600.0
6,6,2.9300603,0.62,1.816637386,4000.0
7,7,2.9300599999999997,0.68,1.9924408,4400.0
8,8,2.9300596999999997,0.66,1.9338394019999998,4800.0
9,9,2.9300601,0.63,1.845937863,5200.0
10,10,2.9300603,0.64,1.875238592,5600.0
11,11,2.9300599,0.65,1.904538935,6000.0
12,12,2.9300596000000003,0.66,1.9338393360000004,6400.0
13,13,2.9300598000000004,0.6,1.7580358800000002,6800.0
14,14,2.9300607000000003,0.62,1.8166376340000001,7200.0
15,15,2.9300599999999997,0.57,1.6701341999999997,7600.0
