,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,carbon_init
0,0,5.5389199,0.58,3.2125735419999994,1,0,1,0,140000.0
1,1,5.608920100000001,0.68,3.814065668000001,1,1,0,1,175000.0
2,2,5.678920399999999,0.64,3.6345090559999993,0,0,1,1,210000.0
3,3,5.7489197999999995,0.53,3.0469274939999997,1,1,0,1,245000.0
4,4,5.818920299999999,0.5,2.9094601499999997,1,0,1,0,280000.0
5,5,5.888918599999999,0.65,3.82779709,0,0,1,0,315000.0
6,6,5.958920000000001,0.62,3.6945304000000005,0,1,0,1,350000.0
7,7,6.0289209,0.67,4.039377003,1,0,0,1,385000.0
8,8,6.0989192,0.67,4.086275864,0,0,1,0,420000.0
9,9,6.168919600000001,0.58,3.5779733680000003,0,0,0,1,455000.0
10,10,6.2389203,0.61,3.805741383,0,0,0,0,490000.0
11,11,6.3089206,0.72,4.542422832,1,1,0,0,525000.0
12,12,6.378919499999999,0.66,4.21008687,0,0,1,0,560000.0
13,13,6.4489208,0.69,4.4497553519999995,0,0,1,0,595000.0
14,14,6.518919100000001,0.66,4.302486606,1,0,1,1,630000.0
15,15,6.5889199,0.57,3.7556843429999995,0,0,1,0,665000.0
