,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,electron_single_qubit_depolar_prob
0,0,5.8589193999999996,0.51,2.988048894,1,0,0,0,0.004
1,1,5.858920100000001,0.69,4.042654869,0,1,1,0,0.0048000000000000004
2,2,5.858920100000001,0.64,3.7497088640000005,0,0,1,1,0.005600000000000001
3,3,5.8589187,0.63,3.691118781,1,0,0,1,0.006400000000000001
4,4,5.8589207,0.63,3.691120041,1,0,0,0,0.0072000000000000015
5,5,5.8589205,0.56,3.2809954800000005,1,0,0,1,0.008000000000000002
6,6,5.8589193,0.66,3.8668867380000003,1,0,1,1,0.008800000000000002
7,7,5.8589204,0.65,3.80829826,1,1,0,1,0.009600000000000003
8,8,5.8589198,0.72,4.218422255999999,0,0,1,1,0.010400000000000003
9,9,5.8589205,0.67,3.925476735,1,0,0,0,0.011200000000000003
10,10,5.858920299999999,0.66,3.866887398,1,1,0,0,0.012000000000000004
11,11,5.8589197,0.64,3.749708608,1,0,1,0,0.012800000000000004
12,12,5.8589195,0.5,2.92945975,1,0,1,0,0.013600000000000004
13,13,5.8589204,0.64,3.749709056,0,0,1,0,0.014400000000000005
14,14,5.8589193,0.56,3.2809948080000004,1,0,1,0,0.015200000000000005
15,15,5.8589193999999996,0.62,3.6325300279999997,1,1,1,1,0.016000000000000007
16,16,5.858920299999999,0.63,3.6911197889999996,0,1,1,0,0.016800000000000006
17,17,5.85892,0.6,3.515352,1,1,0,1,0.017600000000000005
18,18,5.8589208,0.6,3.51535248,1,0,1,1,0.018400000000000007
19,19,5.858920100000001,0.6,3.51535206,1,0,1,1,0.01920000000000001
