,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,carbon_z_rot_depolar_prob
0,0,5.858920299999999,0.59,3.4567629769999995,0,0,1,0,0.00075
1,1,5.8589196,0.59,3.456762564,1,0,1,1,0.0009
2,2,5.8589197,0.63,3.6911194110000003,0,0,0,1,0.00105
3,3,5.8589204,0.65,3.80829826,1,0,0,0,0.0012
4,4,5.8589192,0.58,3.3981731359999996,0,0,0,1,0.0013499999999999999
5,5,5.8589208,0.54,3.163817232,0,0,0,0,0.0014999999999999998
6,6,5.8589202,0.68,3.9840657360000002,1,0,0,1,0.0016499999999999998
7,7,5.8589197,0.68,3.9840653960000005,0,1,1,0,0.0017999999999999997
8,8,5.8589206,0.65,3.8082983900000005,1,1,0,1,0.0019499999999999997
9,9,5.8589193,0.63,3.6911191590000003,1,0,0,1,0.0020999999999999994
10,10,5.8589212999999996,0.58,3.3981743539999996,0,0,0,0,0.0022499999999999994
11,11,5.858918999999999,0.6,3.5153513999999997,1,0,1,1,0.0023999999999999994
12,12,5.8589193,0.75,4.394189475,1,1,0,1,0.0025499999999999993
13,13,5.8589197,0.6,3.5153518200000002,1,1,1,0,0.0026999999999999993
14,14,5.8589193999999996,0.66,3.866886804,1,0,0,0,0.0028499999999999992
15,15,5.8589197,0.65,3.8082978050000005,1,0,1,1,0.002999999999999999
16,16,5.8589192,0.62,3.632529904,0,0,0,1,0.003149999999999999
17,17,5.8589195,0.69,4.042654454999999,1,0,1,1,0.003299999999999999
18,18,5.8589196,0.64,3.749708544,0,0,0,1,0.003449999999999999
19,19,5.8589197,0.69,4.042654593,0,1,1,0,0.003599999999999999
