,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,measure_time
0,0,0.5826762,0.71,0.41370010199999996,0,0,0,0,0.048
1,1,0.5837403,0.65,0.379431195,1,0,0,1,0.06
2,2,0.5866664,0.65,0.38133316000000006,1,0,1,1,0.072
3,3,0.5840064,0.71,0.414644544,0,1,0,0,0.08399999999999999
4,4,0.5861345,0.67,0.392710115,0,1,0,0,0.09599999999999999
5,5,0.5826765,0.76,0.44283414000000004,0,0,0,0,0.10799999999999998
6,6,0.5882626,0.64,0.376488064,0,0,1,0,0.11999999999999998
7,7,0.5832087,0.68,0.39658191600000003,1,1,1,1,0.13199999999999998
8,8,0.5848047,0.63,0.368426961,1,0,0,1,0.14399999999999996
9,9,0.5877308,0.7,0.41141155999999995,1,0,0,0,0.15599999999999997
10,10,0.5853368,0.71,0.415589128,0,0,0,1,0.16799999999999998
11,11,0.5874649000000001,0.65,0.38185218500000007,1,0,0,1,0.17999999999999994
12,12,0.585071,0.64,0.37444544,1,1,0,1,0.19199999999999995
13,13,0.588529,0.66,0.38842914,1,0,0,0,0.20399999999999996
14,14,0.5874651,0.63,0.370103013,1,0,0,1,0.21599999999999997
15,15,0.5925191000000001,0.62,0.36736184200000005,1,0,0,1,0.22799999999999992
