,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,electron_init
0,0,5.856921,0.6,3.5141525999999996,1,1,0,1,1000.0
1,1,5.857419999999999,0.7,4.100193999999999,1,1,1,0,1250.0
2,2,5.857921,0.8,4.6863368,1,0,0,0,1500.0
3,3,5.858420000000001,0.7,4.100894,0,0,1,1,1750.0
4,4,5.8589199999999995,0.7,4.1012439999999994,1,1,0,0,2000.0
5,5,5.85942,0.6,3.5156519999999998,0,0,0,1,2250.0
6,6,5.859917,0.5,2.9299585,1,0,1,0,2500.0
7,7,5.8604210000000005,0.6,3.5162526,1,0,1,0,2750.0
8,8,5.860919,0.3,1.7582757,1,1,0,0,3000.0
9,9,5.861419,0.7,4.1029933,1,0,1,0,3250.0
10,10,5.86192,0.5,2.93096,1,0,0,0,3500.0
11,11,5.86242,0.4,2.344968,0,1,1,0,3750.0
12,12,5.862921,0.7,4.1040447,0,0,1,1,4000.0
13,13,5.863422,0.6,3.5180531999999998,1,0,1,0,4250.0
14,14,5.863918,0.7,4.1047426,0,0,0,1,4500.0
15,15,5.864421,0.5,2.9322105,1,1,1,0,4750.0
