,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,ec_gate_depolar_prob
0,0,5.858918,0.8,4.687134400000001,0,0,0,0,0.025
1,1,5.8589199999999995,0.5,2.9294599999999997,1,0,0,1,0.025500000000000002
2,2,5.8589199999999995,0.7,4.1012439999999994,0,0,0,0,0.026000000000000002
3,3,5.858919,0.5,2.9294595,0,0,1,0,0.026500000000000003
4,4,5.8589199999999995,0.7,4.1012439999999994,0,1,1,1,0.027000000000000003
5,5,5.8589210000000005,0.6,3.5153526000000004,0,0,1,1,0.027500000000000004
6,6,5.8589199999999995,0.7,4.1012439999999994,0,0,1,0,0.028000000000000004
7,7,5.8589199999999995,0.6,3.5153519999999996,1,0,0,0,0.028500000000000004
8,8,5.858918,0.5,2.929459,0,1,0,0,0.029000000000000005
9,9,5.8589210000000005,0.5,2.9294605000000002,0,0,0,1,0.029500000000000005
10,10,5.8589199999999995,0.5,2.9294599999999997,1,0,0,0,0.030000000000000006
11,11,5.858917,0.8,4.6871336,1,1,1,1,0.030500000000000006
12,12,5.8589210000000005,0.8,4.6871368,1,0,0,1,0.031000000000000007
13,13,5.8589210000000005,0.6,3.5153526000000004,0,0,0,0,0.03150000000000001
14,14,5.8589199999999995,0.8,4.687136,1,0,1,0,0.03200000000000001
15,15,5.8589199999999995,0.7,4.1012439999999994,1,1,0,1,0.03250000000000001
16,16,5.8589210000000005,0.8,4.6871368,0,0,1,0,0.03300000000000001
17,17,5.8589199999999995,0.8,4.687136,0,1,0,1,0.03350000000000001
18,18,5.8589199999999995,0.8,4.687136,1,0,1,1,0.03400000000000001
19,19,5.8589199999999995,0.5,2.9294599999999997,1,1,1,1,0.03450000000000001
20,20,5.858918,0.6,3.5153507999999998,1,0,1,0,0.03500000000000001
21,21,5.858918,0.8,4.687134400000001,0,1,0,1,0.03550000000000001
22,22,5.858919,0.5,2.9294595,0,0,0,0,0.03600000000000001
23,23,5.8589199999999995,0.7,4.1012439999999994,0,1,0,1,0.03650000000000001
24,24,5.858922,0.8,4.6871376,1,0,0,0,0.03700000000000001
25,25,5.858923,0.7,4.1012461,0,0,0,1,0.03750000000000001
26,26,5.858922,0.4,2.3435688,1,1,1,0,0.03800000000000001
