,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,two_qubit_gate_depolar_prob
0,0,12.319199999999999,0.5,6.159599999999999,1,0,1,1,0.04
1,1,12.319199999999999,0.7,8.623439999999999,1,0,1,1,0.0408
2,2,12.319199999999999,0.7,8.623439999999999,1,0,0,0,0.041600000000000005
3,3,12.319199999999999,0.6,7.391519999999999,0,0,0,1,0.04240000000000001
4,4,12.319199999999999,0.7,8.623439999999999,0,0,1,0,0.04320000000000001
5,5,12.319199999999999,0.9,11.08728,0,0,1,1,0.04400000000000001
6,6,12.319199999999999,0.6,7.391519999999999,1,1,0,0,0.04480000000000001
7,7,12.319199999999999,0.5,6.159599999999999,0,0,0,0,0.045600000000000016
8,8,12.319199999999999,0.6,7.391519999999999,0,0,0,0,0.04640000000000002
9,9,12.319199999999999,0.7,8.623439999999999,1,1,1,1,0.04720000000000002
10,10,12.319199999999999,0.6,7.391519999999999,0,0,1,1,0.04800000000000002
11,11,12.319199999999999,0.5,6.159599999999999,0,1,1,0,0.048800000000000024
12,12,12.319199999999999,0.8,9.85536,0,0,1,1,0.049600000000000026
13,13,12.319199999999999,0.7,8.623439999999999,1,0,1,0,0.05040000000000003
14,14,12.319199999999999,0.7,8.623439999999999,0,1,1,0,0.05120000000000003
15,15,12.319199999999999,0.6,7.391519999999999,0,0,1,0,0.05200000000000003
16,16,12.319199999999999,0.6,7.391519999999999,1,1,0,1,0.052800000000000034
17,17,12.319199999999999,0.5,6.159599999999999,1,1,0,0,0.053600000000000037
18,18,12.319199999999999,0.4,4.92768,0,0,1,1,0.05440000000000004
19,19,12.319199999999999,0.7,8.623439999999999,0,0,0,0,0.05520000000000004
20,20,12.319199999999999,0.6,7.391519999999999,1,0,1,0,0.05600000000000004
21,21,12.319199999999999,0.8,9.85536,1,0,0,1,0.056800000000000045
22,22,12.319199999999999,0.7,8.623439999999999,1,0,0,1,0.05760000000000005
23,23,12.319199999999999,0.5,6.159599999999999,1,1,1,1,0.05840000000000005
24,24,12.319199999999999,0.5,6.159599999999999,1,1,1,0,0.05920000000000005
25,25,12.319199999999999,0.7,8.623439999999999,1,0,0,1,0.06000000000000005
26,26,12.319199999999999,0.5,6.159599999999999,1,1,1,1,0.060800000000000055
27,27,12.319199999999999,0.6,7.391519999999999,1,0,1,0,0.06160000000000006
28,28,12.319199999999999,0.5,6.159599999999999,1,1,0,1,0.06240000000000006
29,29,12.319199999999999,0.6,7.391519999999999,0,0,1,1,0.06320000000000006
30,30,12.319199999999999,0.7,8.623439999999999,0,1,0,1,0.06400000000000006
31,31,12.319199999999999,0.7,8.623439999999999,0,0,0,0,0.06480000000000007
32,32,12.319199999999999,0.5,6.159599999999999,1,1,0,0,0.06560000000000007
33,33,12.319199999999999,0.7,8.623439999999999,1,0,0,0,0.06640000000000007
34,34,12.319199999999999,0.6,7.391519999999999,1,1,0,1,0.06720000000000007
35,35,12.319199999999999,0.7,8.623439999999999,1,0,0,1,0.06800000000000007
36,36,12.319199999999999,0.6,7.391519999999999,1,1,1,0,0.06880000000000008
37,37,12.319199999999999,0.6,7.391519999999999,1,0,0,1,0.06960000000000008
38,38,12.319199999999999,0.7,8.623439999999999,0,0,0,1,0.07040000000000007
39,39,12.319199999999999,0.9,11.08728,0,0,1,1,0.07120000000000008
40,40,12.319199999999999,0.8,9.85536,0,0,1,1,0.07200000000000009
41,41,12.319199999999999,0.5,6.159599999999999,1,1,1,1,0.07280000000000009
42,42,12.319199999999999,0.8,9.85536,1,1,1,1,0.07360000000000008
43,43,12.319199999999999,0.8,9.85536,1,0,0,1,0.07440000000000009
44,44,12.319199999999999,0.7,8.623439999999999,1,1,1,0,0.0752000000000001
45,45,12.319199999999999,0.8,9.85536,1,0,0,1,0.0760000000000001
46,46,12.319199999999999,0.9,11.08728,1,1,1,1,0.07680000000000009
47,47,12.319199999999999,0.6,7.391519999999999,0,1,0,0,0.0776000000000001
48,48,12.319199999999999,0.7,8.623439999999999,1,0,1,1,0.07840000000000011
49,49,12.319199999999999,0.7,8.623439999999999,1,1,1,1,0.0792000000000001
50,50,12.319199999999999,0.7,8.623439999999999,1,1,0,1,0.0800000000000001
51,51,12.319199999999999,0.6,7.391519999999999,1,0,0,0,0.08080000000000011
52,52,12.319199999999999,0.6,7.391519999999999,1,0,1,0,0.08160000000000012
53,53,12.319199999999999,0.8,9.85536,1,0,0,1,0.08240000000000011
54,54,12.319199999999999,0.3,3.6957599999999995,1,0,0,0,0.08320000000000011
55,55,12.319199999999999,0.5,6.159599999999999,0,1,1,1,0.08400000000000012
56,56,12.319199999999999,0.3,3.6957599999999995,1,1,1,1,0.08480000000000013
57,57,12.319199999999999,1.0,12.319199999999999,1,0,0,1,0.08560000000000012
58,58,12.319199999999999,0.8,9.85536,1,0,1,1,0.08640000000000012
59,59,12.319199999999999,0.7,8.623439999999999,1,0,1,0,0.08720000000000012
60,60,12.319199999999999,0.7,8.623439999999999,1,0,1,0,0.08800000000000013
61,61,12.319199999999999,0.7,8.623439999999999,1,1,1,0,0.08880000000000013
62,62,12.319199999999999,0.7,8.623439999999999,1,1,1,0,0.08960000000000012
63,63,12.319199999999999,0.5,6.159599999999999,1,0,0,1,0.09040000000000013
64,64,12.319199999999999,0.7,8.623439999999999,0,1,1,1,0.09120000000000014
65,65,12.319199999999999,0.6,7.391519999999999,0,0,0,1,0.09200000000000014
66,66,12.319199999999999,0.7,8.623439999999999,0,0,0,1,0.09280000000000013
67,67,12.319199999999999,0.3,3.6957599999999995,0,1,1,1,0.09360000000000014
68,68,12.319199999999999,0.8,9.85536,0,0,0,1,0.09440000000000015
69,69,12.319199999999999,0.8,9.85536,1,1,0,0,0.09520000000000015
70,70,12.319199999999999,0.8,9.85536,0,0,1,0,0.09600000000000014
71,71,12.319199999999999,1.0,12.319199999999999,0,0,0,1,0.09680000000000015
72,72,12.319199999999999,0.5,6.159599999999999,1,1,0,1,0.09760000000000016
73,73,12.319199999999999,0.5,6.159599999999999,1,0,1,0,0.09840000000000015
74,74,12.319199999999999,0.7,8.623439999999999,0,0,0,0,0.09920000000000015
75,75,12.319199999999999,0.6,7.391519999999999,1,0,0,0,0.10000000000000016
76,76,12.319199999999999,0.5,6.159599999999999,1,0,1,0,0.10080000000000017
77,77,12.319199999999999,0.6,7.391519999999999,0,1,1,1,0.10160000000000016
78,78,12.319199999999999,1.0,12.319199999999999,1,0,1,0,0.10240000000000016
79,79,12.319199999999999,0.6,7.391519999999999,1,0,1,0,0.10320000000000018
80,80,12.319199999999999,0.5,6.159599999999999,0,0,0,0,0.10400000000000018
81,81,12.319199999999999,0.9,11.08728,1,0,1,0,0.10480000000000017
82,82,12.319199999999999,0.6,7.391519999999999,1,1,1,0,0.10560000000000017
83,83,12.319199999999999,0.6,7.391519999999999,0,1,0,0,0.10640000000000019
84,84,12.319199999999999,0.7,8.623439999999999,0,0,1,1,0.10720000000000018
85,85,12.319199999999999,0.7,8.623439999999999,0,1,1,1,0.10800000000000018
86,86,12.319199999999999,0.5,6.159599999999999,1,1,1,0,0.10880000000000017
87,87,12.319199999999999,0.5,6.159599999999999,1,1,1,1,0.1096000000000002
88,88,12.319199999999999,0.6,7.391519999999999,0,0,1,0,0.11040000000000019
89,89,12.319199999999999,0.7,8.623439999999999,0,0,0,1,0.11120000000000019
90,90,12.319199999999999,0.5,6.159599999999999,0,1,1,0,0.11200000000000018
