,id,exec_per_sec,succ_rate,succ_per_sec,single_qubit_gate_depolar_prob
0,0,6.1596,0.64,3.9421440000000003,0.01
1,1,6.1596,0.68,4.188528000000001,0.012
2,2,6.1596,0.67,4.126932,0.014
3,3,6.1596,0.65,4.0037400000000005,0.016
4,4,6.1596,0.63,3.880548,0.018000000000000002
5,5,6.1596,0.68,4.188528000000001,0.02
6,6,6.1596,0.66,4.065336,0.022
7,7,6.1596,0.64,3.9421440000000003,0.024
8,8,6.1596,0.65,4.0037400000000005,0.026000000000000002
9,9,6.1596,0.65,4.0037400000000005,0.028000000000000004
10,10,6.1596,0.65,4.0037400000000005,0.03
11,11,6.1596,0.65,4.0037400000000005,0.032
12,12,6.1596,0.64,3.9421440000000003,0.034
13,13,6.1596,0.69,4.250124,0.036000000000000004
14,14,6.1596,0.66,4.065336,0.038
15,15,6.1596,0.63,3.880548,0.04
16,16,6.1596,0.64,3.9421440000000003,0.042
17,17,6.1596,0.64,3.9421440000000003,0.044000000000000004
18,18,6.1596,0.67,4.126932,0.046000000000000006
19,19,6.1596,0.66,4.065336,0.048
