,id,exec_per_sec,succ_rate,succ_per_sec,carbon_init
0,0,2.92946016,0.62,1.8162652992000001,120000.0
1,1,2.9294600799999997,0.63,1.8455598504,144000.0
2,2,2.92946014,0.62,1.8162652868000002,168000.0
3,3,2.9294600500000003,0.63,1.8455598315000001,192000.0
4,4,2.92946006,0.63,1.8455598378,216000.0
5,5,2.92945994,0.64,1.8748543616000002,240000.0
6,6,2.92945996,0.62,1.8162651752,264000.0
7,7,2.92945996,0.64,1.8748543744,288000.0
8,8,2.92946003,0.64,1.8748544192,312000.0
9,9,2.92945994,0.61,1.7869705634,336000.0
10,10,2.92945995,0.62,1.816265169,360000.0
11,11,2.9294601499999997,0.61,1.7869706914999999,384000.0
12,12,2.92946009,0.66,1.9334436594000002,408000.0
13,13,2.92946006,0.59,1.7283814353999998,432000.0
14,14,2.9294601200000003,0.65,1.9041490780000003,456000.0
15,15,2.92945991,0.64,1.8748543424,480000.0
16,16,2.92946006,0.63,1.8455598378,504000.0
17,17,2.92946006,0.64,1.8748544383999999,528000.0
18,18,2.9294600799999997,0.62,1.8162652495999998,552000.0
19,19,2.92946003,0.61,1.7869706183,576000.0
