,id,exec_per_sec,succ_rate,succ_per_sec,ec_gate_depolar_prob
0,0,2.9294598,0.67,1.9627380660000002,0.03
1,1,2.9294600500000003,0.65,1.9041490325000003,0.036
2,2,2.92946002,0.62,1.8162652124,0.041999999999999996
3,3,2.92945999,0.62,1.8162651937999998,0.047999999999999994
4,4,2.92946019,0.66,1.9334437254,0.05399999999999999
5,5,2.92945996,0.63,1.8455597747999999,0.05999999999999999
6,6,2.9294600799999997,0.64,1.8748544511999998,0.06599999999999999
7,7,2.92945994,0.61,1.7869705634,0.07199999999999998
8,8,2.92946006,0.65,1.904149039,0.07799999999999999
9,9,2.92945999,0.62,1.8162651937999998,0.08399999999999999
10,10,2.92945995,0.62,1.816265169,0.08999999999999998
11,11,2.92945996,0.62,1.8162651752,0.09599999999999997
12,12,2.92946011,0.62,1.8162652682,0.10199999999999998
13,13,2.92945996,0.64,1.8748543744,0.10799999999999998
14,14,2.9294601499999997,0.6,1.7576760899999997,0.11399999999999998
15,15,2.92946014,0.6,1.757676084,0.11999999999999997
16,16,2.9294600099999997,0.65,1.9041490064999997,0.12599999999999997
17,17,2.92946009,0.61,1.7869706549,0.13199999999999998
18,18,2.92945999,0.63,1.8455597937,0.13799999999999996
19,19,2.92946014,0.61,1.7869706854,0.14399999999999996
