file,param,value,succ_rate_or_frac0,exec_per_sec,succ_per_sec,num_times,ci_low,ci_high
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,0.0,0.67,2.9794594,1.996237798,100,0.5730516033971139,0.7543701620610456
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,1.0,0.68,2.9794606,2.026033208,100,0.5833719774632081,0.7633098918454312
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,2.0,0.66,2.9794598000000003,1.966443468,100,0.5627754565831095,0.74538620502457
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,3.0,0.62,2.9794604,1.847265448,100,0.5220957382071033,0.7090255079986562
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,4.0,0.57,2.9794606,1.698292542,100,0.4721521169586435,0.6626686099947162
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,5.0,0.57,2.9794605,1.698292485,100,0.4721521169586435,0.6626686099947162
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,6.0,0.73,2.9794604,2.175006092,100,0.6356769977376873,0.8073053908233518
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,7.0,0.63,2.9794599,1.877059737,100,0.5322034757513312,0.7181778743049083
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,8.0,0.64,2.9794597,1.906854208,100,0.542352199811621,0.7272892540950986
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,9.0,0.69,2.9794595,2.055827055,100,0.5937376052204429,0.7722043679386762
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,10.0,0.62,2.9794598000000003,1.847265076,100,0.5220957382071033,0.7090255079986562
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,11.0,0.64,2.9794594,1.906854016,100,0.542352199811621,0.7272892540950986
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,12.0,0.66,2.9794605,1.96644393,100,0.5627754565831095,0.74538620502457
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,13.0,0.49,2.9794600000000004,1.4599354000000002,100,0.39421830092386145,0.5865215952256586
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,14.0,0.59,2.9794596,1.757881164,100,0.4920125056109662,0.6813284290433533
20240915-220840_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,15.0,0.66,2.9794596,1.966443336,100,0.5627754565831095,0.74538620502457
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,0.0,0.64,2.9299602,1.875174528,100,0.542352199811621,0.7272892540950986
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,1.0,0.59,2.92996,1.7286764,100,0.4920125056109662,0.6813284290433533
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,2.0,0.62,2.9299597,1.816575014,100,0.5220957382071033,0.7090255079986562
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,3.0,0.61,2.9299596,1.787275356,100,0.5120283616749817,0.699832780680298
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,4.0,0.65,2.9299599,1.904473935,100,0.5525426042919797,0.7363589534652197
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,5.0,0.61,2.9299593,1.7872751729999998,100,0.5120283616749817,0.699832780680298
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,6.0,0.55,2.9299611,1.611478605,100,0.4524442703164344,0.6438562489359654
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,7.0,0.64,2.9299598,1.875174272,100,0.542352199811621,0.7272892540950986
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,8.0,0.71,2.9299598,2.080271458,100,0.6146092505999207,0.7898529302601586
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,9.0,0.63,2.9299601,1.845874863,100,0.5322034757513312,0.7181778743049083
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,10.0,0.63,2.9299598,1.845874674,100,0.5322034757513312,0.7181778743049083
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,11.0,0.56,2.9299603000000003,1.6407777680000004,100,0.4622792771125631,0.6532813459903167
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,12.0,0.74,2.9299597,2.168170178,100,0.6462882736813838,0.8159542187301354
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,13.0,0.67,2.9299599,1.963073133,100,0.5730516033971139,0.7543701620610456
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,14.0,0.61,2.9299604,1.787275844,100,0.5120283616749817,0.699832780680298
20240915-221038_NVQDeviceConfig_electron_init_100.csv,Unnamed: 0,15.0,0.71,2.9299593,2.080271103,100,0.6146092505999207,0.7898529302601586
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,0.0,0.63,2.9300596000000003,1.845937548,100,0.5322034757513312,0.7181778743049083
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,1.0,0.55,2.9300603,1.6115331650000002,100,0.4524442703164344,0.6438562489359654
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,2.0,0.6,2.93006,1.7580359999999997,100,0.5020007846184025,0.6906002538863971
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,3.0,0.6,2.9300605,1.7580363,100,0.5020007846184025,0.6906002538863971
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,4.0,0.64,2.9300596000000003,1.8752381440000003,100,0.542352199811621,0.7272892540950986
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,5.0,0.58,2.9300596000000003,1.699434568,100,0.48206307998895276,0.672017750814887
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,6.0,0.62,2.9300603,1.816637386,100,0.5220957382071033,0.7090255079986562
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,7.0,0.68,2.93006,1.9924408,100,0.5833719774632081,0.7633098918454312
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,8.0,0.66,2.9300597,1.933839402,100,0.5627754565831095,0.74538620502457
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,9.0,0.63,2.9300601,1.845937863,100,0.5322034757513312,0.7181778743049083
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,10.0,0.64,2.9300603,1.875238592,100,0.542352199811621,0.7272892540950986
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,11.0,0.65,2.9300599,1.904538935,100,0.5525426042919797,0.7363589534652197
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,12.0,0.66,2.9300596000000003,1.9338393360000004,100,0.5627754565831095,0.74538620502457
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,13.0,0.6,2.9300598000000004,1.7580358800000002,100,0.5020007846184025,0.6906002538863971
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,14.0,0.62,2.9300607000000003,1.816637634,100,0.5220957382071033,0.7090255079986562
20240915-221240_NVQDeviceConfig_measure_100.csv,Unnamed: 0,15.0,0.57,2.93006,1.6701341999999997,100,0.4721521169586435,0.6626686099947162
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,0.0,0.58,5.5389199,3.2125735419999994,100,0.48206307998895276,0.672017750814887
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,1.0,0.68,5.608920100000001,3.814065668000001,100,0.5833719774632081,0.7633098918454312
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,2.0,0.64,5.678920399999999,3.6345090559999993,100,0.542352199811621,0.7272892540950986
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,3.0,0.53,5.7489198,3.046927494,100,0.4328868313724773,0.6248934801789626
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,4.0,0.5,5.818920299999999,2.90946015,100,0.40382982859014716,0.5961701714098528
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,5.0,0.65,5.888918599999999,3.82779709,100,0.5525426042919797,0.7363589534652197
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,6.0,0.62,5.958920000000001,3.694530400000001,100,0.5220957382071033,0.7090255079986562
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,7.0,0.67,6.0289209,4.039377003,100,0.5730516033971139,0.7543701620610456
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,8.0,0.67,6.0989192,4.086275864,100,0.5730516033971139,0.7543701620610456
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,9.0,0.58,6.168919600000001,3.5779733680000003,100,0.48206307998895276,0.672017750814887
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,10.0,0.61,6.2389203,3.805741383,100,0.5120283616749817,0.699832780680298
20240915-221958_NVQDeviceConfig_carbon_init_100.csv,Unnamed: 0,11.0,0.72,6.3089206,4.542422832,100,0.6251178763865427,0.7986044083240164
